ID,exercise_name,muscle_group,equipment,intensity_level,description,condition,demo_video
41,Cable Crossover,Chest,Bands,Moderate,Sample chest exercise with bands,asthma,https://www.youtube.com/watch?v=taI4XduLpTk
42,T-Bar Row,Back,Bodyweight,Low,Sample back exercise with bodyweight,asthma,https://www.youtube.com/watch?v=8b8aKhN5C3c
43,Leg Extension,Legs,Machine,Moderate,Sample legs exercise with machine,asthma,https://www.youtube.com/watch?v=yRxs4lFxiJw
44,Upright Row,Shoulders,Dumbbells,Low,Sample shoulders exercise with dumbbells,asthma,https://www.youtube.com/watch?v=Z5R41AK0C0g
45,Skull Crusher,Arms,Cable,Moderate,Sample arms exercise with cable,asthma,https://www.youtube.com/watch?v=d_KZxkY_0cM
46,Ab Wheel Rollout,Core,Barbell,Low,Sample core exercise with barbell,asthma,https://www.youtube.com/watch?v=v66p-vBrRLQ
47,Frog Pump,Glutes,Bands,Moderate,Sample glutes exercise with bands,asthma,https://www.youtube.com/watch?v=hqCFRwj67N8
48,Rack Pull,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,asthma,https://www.youtube.com/watch?v=8iPEnn-ltC8&t=1s
49,Decline Barbell Press,Chest,Machine,Moderate,Sample chest exercise with machine,asthma,https://www.youtube.com/watch?v=QYJ3y7n1d6Q
50,Lat Pulldown,Back,Dumbbells,Low,Sample back exercise with dumbbells,asthma,https://www.youtube.com/watch?v=CAwf7n6Luuc
51,Lunges,Legs,Cable,Moderate,Sample legs exercise with cable,asthma,https://www.youtube.com/watch?v=QOVaHwm-Q6U
52,Upright Row,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,asthma,https://www.youtube.com/watch?v=Z5R41AK0C0g
53,Preacher Curl,Arms,Bands,Moderate,Sample arms exercise with bands,asthma,https://www.youtube.com/watch?v=fIWP-FRFNU0
54,Dead Bug,Core,Bodyweight,Low,Sample core exercise with bodyweight,asthma,https://www.youtube.com/watch?v=4botcJcQKNA
55,Sumo Deadlift,Glutes,Machine,Moderate,Sample glutes exercise with machine,asthma,https://www.youtube.com/watch?v=5zAkYWoR_4c
56,High Pull,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,asthma,https://www.youtube.com/watch?v=ycn2C66wT54
57,Bench Press,Chest,Cable,Moderate,Sample chest exercise with cable,asthma,https://www.youtube.com/watch?v=rT7DgCr-3pg
58,Deadlift,Back,Barbell,Low,Sample back exercise with barbell,asthma,https://www.youtube.com/watch?v=op9kVnSso6Q
59,Romanian Deadlift,Legs,Bands,Moderate,Sample legs exercise with bands,asthma,https://www.youtube.com/watch?v=DJpHADyP-Ko
60,Front Raise,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,asthma,https://www.youtube.com/watch?v=-t7fuZ0KhDA
61,Bench Press,Chest,Machine,Moderate,Sample chest exercise with machine,heart,https://www.youtube.com/watch?v=rT7DgCr-3pg
62,Single-Arm Dumbbell Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,heart,https://www.youtube.com/watch?v=pYcpY20QaE8
63,Lunges,Legs,Cable,Moderate,Sample legs exercise with cable,heart,https://www.youtube.com/watch?v=QOVaHwm-Q6U
64,Overhead Press,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,heart,https://www.youtube.com/watch?v=qEwKCR5JCog
65,Preacher Curl,Arms,Bands,Moderate,Sample arms exercise with bands,heart,https://www.youtube.com/watch?v=fIWP-FRFNU0
66,Side Plank,Core,Bodyweight,Low,Sample core exercise with bodyweight,heart,https://www.youtube.com/watch?v=K2VljzCC16g
67,45-Degree Back Extension,Glutes,Machine,Moderate,Sample glutes exercise with machine,heart,https://www.youtube.com/watch?v=ph3pddpKzzw
68,Cable Upright Row,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,heart,https://www.youtube.com/watch?v=QXZvUnPsQ9E
69,Decline Barbell Press,Chest,Cable,Moderate,Sample chest exercise with cable,heart,https://www.youtube.com/watch?v=QYJ3y7n1d6Q
70,Barbell Row,Back,Barbell,Low,Sample back exercise with barbell,heart,https://www.youtube.com/watch?v=vT2GjY_Umpw
71,Squat,Legs,Bands,Moderate,Sample legs exercise with bands,heart,https://www.youtube.com/watch?v=YaXPRqUwItQ
72,Upright Row,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,heart,https://www.youtube.com/watch?v=Z5R41AK0C0g
73,Skull Crusher,Arms,Machine,Moderate,Sample arms exercise with machine,heart,https://www.youtube.com/watch?v=d_KZxkY_0cM
74,V-Up,Core,Dumbbells,Low,Sample core exercise with dumbbells,heart,https://www.youtube.com/watch?v=iP2fjvG0g3w
75,Kettlebell Swing,Glutes,Cable,Moderate,Sample glutes exercise with cable,heart,https://www.youtube.com/watch?v=YSxHifyI1S4
76,Trap Bar Shrug,Traps,Barbell,Low,Sample traps exercise with barbell,heart,https://www.youtube.com/watch?v=YkPYSf8Lu3U
77,Chest Fly,Chest,Bands,Moderate,Sample chest exercise with bands,heart,https://www.youtube.com/watch?v=eozdVDA78K0
78,Barbell Row,Back,Bodyweight,Low,Sample back exercise with bodyweight,heart,https://www.youtube.com/watch?v=vT2GjY_Umpw
79,Leg Press,Legs,Machine,Moderate,Sample legs exercise with machine,heart,https://www.youtube.com/watch?v=IZxyjW7MPJQ
80,Lateral Raise,Shoulders,Dumbbells,Low,Sample shoulders exercise with dumbbells,heart,https://www.youtube.com/watch?v=kDqklk1ZESo
81,Hammer Curl,Arms,Cable,Moderate,Sample arms exercise with cable,heart,https://www.youtube.com/watch?v=zC3nLlEvin4
82,Mountain Climber,Core,Barbell,Low,Sample core exercise with barbell,heart,https://www.youtube.com/watch?v=nmwgirgXLYM
83,Single-Leg RDL,Glutes,Bands,Moderate,Sample glutes exercise with bands,heart,https://www.youtube.com/watch?v=E5FYUBo_5co
84,Snatch Grip Deadlift,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,heart,https://www.youtube.com/watch?v=6t9-6X1-9mY
85,Chest Fly,Chest,Machine,Moderate,Sample chest exercise with machine,heart,https://www.youtube.com/watch?v=eozdVDA78K0
86,Single-Arm Dumbbell Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,heart,https://www.youtube.com/watch?v=pYcpY20QaE8
87,Calf Raise,Legs,Cable,Moderate,Sample legs exercise with cable,heart,https://www.youtube.com/watch?v=YMmgqO8Jo-k
88,Overhead Press,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,heart,https://www.youtube.com/watch?v=qEwKCR5JCog
89,Skull Crusher,Arms,Bands,Moderate,Sample arms exercise with bands,heart,https://www.youtube.com/watch?v=d_KZxkY_0cM
90,Plank,Core,Bodyweight,Low,Sample core exercise with bodyweight,heart,https://www.youtube.com/watch?v=pSHjTRCQxIw
91,Barbell Hip Thrust,Glutes,Machine,Moderate,Sample glutes exercise with machine,heart,https://www.youtube.com/watch?v=LM8XHLYJoYs
92,Barbell Shrug,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,heart,https://www.youtube.com/watch?v=7-7Ln9N1M0k
93,Cable Crossover,Chest,Cable,Moderate,Sample chest exercise with cable,heart,https://www.youtube.com/watch?v=taI4XduLpTk
94,Pull-Up,Back,Barbell,Low,Sample back exercise with barbell,heart,https://www.youtube.com/watch?v=eGo4IYlbE5g
95,Squat,Legs,Bands,Moderate,Sample legs exercise with bands,heart,https://www.youtube.com/watch?v=YaXPRqUwItQ
96,Lateral Raise,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,heart,https://www.youtube.com/watch?v=kDqklk1ZESo
97,Overhead Tricep Extension,Arms,Machine,Moderate,Sample arms exercise with machine,heart,https://www.youtube.com/watch?v=nRiJVZDpdL0
98,Hanging Leg Raise,Core,Dumbbells,Low,Sample core exercise with dumbbells,heart,https://www.youtube.com/watch?v=HDgq3x0B0GQ
99,Glute Bridge,Glutes,Cable,Moderate,Sample glutes exercise with cable,heart,https://www.youtube.com/watch?v=8bbE64NuDTU
100,Dumbbell Shrug,Traps,Barbell,Low,Sample traps exercise with barbell,heart,https://www.youtube.com/watch?v=1v7S_7DnkPk
101,Incline Dumbbell Press,Chest,Bands,Moderate,Sample chest exercise with bands,heart,https://www.youtube.com/watch?v=8iPEnn-ltC8
102,Lat Pulldown,Back,Bodyweight,Low,Sample back exercise with bodyweight,heart,https://www.youtube.com/watch?v=CAwf7n6Luuc
103,Lunges,Legs,Machine,Moderate,Sample legs exercise with machine,heart,https://www.youtube.com/watch?v=QOVaHwm-Q6U
104,Overhead Press,Shoulders,Dumbbells,Low,Sample shoulders exercise with dumbbells,heart,https://www.youtube.com/watch?v=qEwKCR5JCog
105,Preacher Curl,Arms,Cable,Moderate,Sample arms exercise with cable,heart,https://www.youtube.com/watch?v=fIWP-FRFNU0
106,Cable Crunch,Core,Barbell,Low,Sample core exercise with barbell,heart,https://www.youtube.com/watch?v=G4XH7a0fH0M
107,Cable Pull-Through,Glutes,Bands,Moderate,Sample glutes exercise with bands,heart,https://www.youtube.com/watch?v=F4Kc5gHhA6Y
108,Face Pull (Traps),Traps,Bodyweight,Low,Sample traps exercise with bodyweight,heart,https://www.youtube.com/watch?v=rep-qVOkqgk
109,Cable Crossover,Chest,Machine,Moderate,Sample chest exercise with machine,heart,https://www.youtube.com/watch?v=taI4XduLpTk
110,Single-Arm Dumbbell Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,heart,https://www.youtube.com/watch?v=pYcpY20QaE8
111,Calf Raise,Legs,Cable,Moderate,Sample legs exercise with cable,heart,https://www.youtube.com/watch?v=YMmgqO8Jo-k
112,Lateral Raise,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,heart,https://www.youtube.com/watch?v=kDqklk1ZESo
113,Preacher Curl,Arms,Bands,Moderate,Sample arms exercise with bands,heart,https://www.youtube.com/watch?v=fIWP-FRFNU0
114,Russian Twist,Core,Bodyweight,Low,Sample core exercise with bodyweight,heart,https://www.youtube.com/watch?v=wkD8rjkodUI
115,Step-Up,Glutes,Machine,Moderate,Sample glutes exercise with machine,heart,https://www.youtube.com/watch?v=dQqApCGd5Ss
116,Behind-the-Back Shrug,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,heart,https://www.youtube.com/watch?v=H7XQLba9BH4
117,Incline Dumbbell Press,Chest,Cable,Moderate,Sample chest exercise with cable,heart,https://www.youtube.com/watch?v=8iPEnn-ltC8
118,T-Bar Row,Back,Barbell,Low,Sample back exercise with barbell,heart,https://www.youtube.com/watch?v=8b8aKhN5C3c
119,Squat,Legs,Bands,Moderate,Sample legs exercise with bands,heart,https://www.youtube.com/watch?v=YaXPRqUwItQ
120,Face Pull,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,heart,https://www.youtube.com/watch?v=rep-qVOkqgk
121,Cable Crossover,Chest,Machine,Moderate,Sample chest exercise with machine,no_legs,https://www.youtube.com/watch?v=taI4XduLpTk
122,Single-Arm Dumbbell Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,no_legs,https://www.youtube.com/watch?v=pYcpY20QaE8
123,Front Raise,Shoulders,Cable,Moderate,Sample shoulders exercise with cable,no_legs,https://www.youtube.com/watch?v=-t7fuZ0KhDA
124,Skull Crusher,Arms,Barbell,Low,Sample arms exercise with barbell,no_legs,https://www.youtube.com/watch?v=d_KZxkY_0cM
125,Bicycle Crunch,Core,Bands,Moderate,Sample core exercise with bands,no_legs,https://www.youtube.com/watch?v=9FGilxCbdz8
126,Farmer's Walk,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,no_legs,https://www.youtube.com/watch?v=QJ7pMoDZX8o
127,Decline Barbell Press,Chest,Machine,Moderate,Sample chest exercise with machine,no_legs,https://www.youtube.com/watch?v=QYJ3y7n1d6Q
128,Deadlift,Back,Dumbbells,Low,Sample back exercise with dumbbells,no_legs,https://www.youtube.com/watch?v=op9kVnSso6Q
129,Front Raise,Shoulders,Cable,Moderate,Sample shoulders exercise with cable,no_legs,https://www.youtube.com/watch?v=-t7fuZ0KhDA
130,Hammer Curl,Arms,Barbell,Low,Sample arms exercise with barbell,no_legs,https://www.youtube.com/watch?v=zC3nLlEvin4
131,Ab Wheel Rollout,Core,Bands,Moderate,Sample core exercise with bands,no_legs,https://www.youtube.com/watch?v=v66p-vBrRLQ
132,Rack Pull,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,no_legs,https://www.youtube.com/watch?v=8iPEnn-ltC8&t=1s
133,Cable Crossover,Chest,Machine,Moderate,Sample chest exercise with machine,no_legs,https://www.youtube.com/watch?v=taI4XduLpTk
134,T-Bar Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,no_legs,https://www.youtube.com/watch?v=8b8aKhN5C3c
135,Overhead Press,Shoulders,Cable,Moderate,Sample shoulders exercise with cable,no_legs,https://www.youtube.com/watch?v=qEwKCR5JCog
136,Tricep Pushdown,Arms,Barbell,Low,Sample arms exercise with barbell,no_legs,https://www.youtube.com/watch?v=2-LAMcpzODU
137,Dead Bug,Core,Bands,Moderate,Sample core exercise with bands,no_legs,https://www.youtube.com/watch?v=4botcJcQKNA
138,High Pull,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,no_legs,https://www.youtube.com/watch?v=ycn2C66wT54
139,Decline Barbell Press,Chest,Machine,Moderate,Sample chest exercise with machine,no_legs,https://www.youtube.com/watch?v=QYJ3y7n1d6Q
140,Single-Arm Dumbbell Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,no_legs,https://www.youtube.com/watch?v=pYcpY20QaE8
141,Arnold Press,Shoulders,Cable,Moderate,Sample shoulders exercise with cable,no_legs,https://www.youtube.com/watch?v=vj2w851ZHRM
142,Overhead Tricep Extension,Arms,Barbell,Low,Sample arms exercise with barbell,no_legs,https://www.youtube.com/watch?v=nRiJVZDpdL0
143,Side Plank,Core,Bands,Moderate,Sample core exercise with bands,no_legs,https://www.youtube.com/watch?v=K2VljzCC16g
144,Cable Upright Row,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,no_legs,https://www.youtube.com/watch?v=QXZvUnPsQ9E
145,Incline Dumbbell Press,Chest,Machine,Moderate,Sample chest exercise with machine,no_legs,https://www.youtube.com/watch?v=8iPEnn-ltC8
146,Barbell Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,no_legs,https://www.youtube.com/watch?v=vT2GjY_Umpw
147,Lateral Raise,Shoulders,Cable,Moderate,Sample shoulders exercise with cable,no_legs,https://www.youtube.com/watch?v=kDqklk1ZESo
148,Bicep Curl,Arms,Barbell,Low,Sample arms exercise with barbell,no_legs,https://www.youtube.com/watch?v=ykJmrZ5v0Oo
149,V-Up,Core,Bands,Moderate,Sample core exercise with bands,no_legs,https://www.youtube.com/watch?v=iP2fjvG0g3w
150,Trap Bar Shrug,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,no_legs,https://www.youtube.com/watch?v=YkPYSf8Lu3U
151,Push-Up,Chest,Machine,Moderate,Sample chest exercise with machine,no_legs,https://www.youtube.com/watch?v=_l3ySVKYVJ8
152,Lat Pulldown,Back,Dumbbells,Low,Sample back exercise with dumbbells,no_legs,https://www.youtube.com/watch?v=CAwf7n6Luuc
153,Arnold Press,Shoulders,Cable,Moderate,Sample shoulders exercise with cable,no_legs,https://www.youtube.com/watch?v=vj2w851ZHRM
154,Preacher Curl,Arms,Barbell,Low,Sample arms exercise with barbell,no_legs,https://www.youtube.com/watch?v=fIWP-FRFNU0
155,Mountain Climber,Core,Bands,Moderate,Sample core exercise with bands,no_legs,https://www.youtube.com/watch?v=nmwgirgXLYM
156,Snatch Grip Deadlift,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,no_legs,https://www.youtube.com/watch?v=6t9-6X1-9mY
157,Cable Crossover,Chest,Machine,Moderate,Sample chest exercise with machine,no_legs,https://www.youtube.com/watch?v=taI4XduLpTk
158,Deadlift,Back,Dumbbells,Low,Sample back exercise with dumbbells,no_legs,https://www.youtube.com/watch?v=op9kVnSso6Q
159,Overhead Press,Shoulders,Cable,Moderate,Sample shoulders exercise with cable,no_legs,https://www.youtube.com/watch?v=qEwKCR5JCog
160,Bicep Curl,Arms,Barbell,Low,Sample arms exercise with barbell,no_legs,https://www.youtube.com/watch?v=ykJmrZ5v0Oo
161,Plank,Core,Bands,Moderate,Sample core exercise with bands,no_legs,https://www.youtube.com/watch?v=pSHjTRCQxIw
162,Barbell Shrug,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,no_legs,https://www.youtube.com/watch?v=7-7Ln9N1M0k
163,Decline Barbell Press,Chest,Machine,Moderate,Sample chest exercise with machine,no_legs,https://www.youtube.com/watch?v=QYJ3y7n1d6Q
164,T-Bar Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,no_legs,https://www.youtube.com/watch?v=8b8aKhN5C3c
165,Arnold Press,Shoulders,Cable,Moderate,Sample shoulders exercise with cable,no_legs,https://www.youtube.com/watch?v=vj2w851ZHRM
166,Preacher Curl,Arms,Barbell,Low,Sample arms exercise with barbell,no_legs,https://www.youtube.com/watch?v=fIWP-FRFNU0
167,Hanging Leg Raise,Core,Bands,Moderate,Sample core exercise with bands,no_legs,https://www.youtube.com/watch?v=HDgq3x0B0GQ
168,Dumbbell Shrug,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,no_legs,https://www.youtube.com/watch?v=1v7S_7DnkPk
169,Cable Crossover,Chest,Machine,Moderate,Sample chest exercise with machine,no_legs,https://www.youtube.com/watch?v=taI4XduLpTk
170,T-Bar Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,no_legs,https://www.youtube.com/watch?v=8b8aKhN5C3c
171,Lateral Raise,Shoulders,Cable,Moderate,Sample shoulders exercise with cable,no_legs,https://www.youtube.com/watch?v=kDqklk1ZESo
172,Preacher Curl,Arms,Barbell,Low,Sample arms exercise with barbell,no_legs,https://www.youtube.com/watch?v=fIWP-FRFNU0
173,Cable Crunch,Core,Bands,Moderate,Sample core exercise with bands,no_legs,https://www.youtube.com/watch?v=G4XH7a0fH0M
174,Face Pull (Traps),Traps,Bodyweight,Low,Sample traps exercise with bodyweight,no_legs,https://www.youtube.com/watch?v=rep-qVOkqgk
175,Cable Crossover,Chest,Machine,Moderate,Sample chest exercise with machine,no_legs,https://www.youtube.com/watch?v=taI4XduLpTk
176,Barbell Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,no_legs,https://www.youtube.com/watch?v=vT2GjY_Umpw
177,Arnold Press,Shoulders,Cable,Moderate,Sample shoulders exercise with cable,no_legs,https://www.youtube.com/watch?v=vj2w851ZHRM
178,Tricep Pushdown,Arms,Barbell,Low,Sample arms exercise with barbell,no_legs,https://www.youtube.com/watch?v=2-LAMcpzODU
179,Russian Twist,Core,Bands,Moderate,Sample core exercise with bands,no_legs,https://www.youtube.com/watch?v=wkD8rjkodUI
180,Behind-the-Back Shrug,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,no_legs,https://www.youtube.com/watch?v=H7XQLba9BH4
181,Decline Barbell Press,Chest,Machine,Moderate,Sample chest exercise with machine,high_blood_pressure,https://www.youtube.com/watch?v=QYJ3y7n1d6Q
182,Lat Pulldown,Back,Dumbbells,Low,Sample back exercise with dumbbells,high_blood_pressure,https://www.youtube.com/watch?v=CAwf7n6Luuc
183,Leg Extension,Legs,Cable,Moderate,Sample legs exercise with cable,high_blood_pressure,https://www.youtube.com/watch?v=yRxs4lFxiJw
184,Front Raise,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,high_blood_pressure,https://www.youtube.com/watch?v=-t7fuZ0KhDA
185,Overhead Tricep Extension,Arms,Bands,Moderate,Sample arms exercise with bands,high_blood_pressure,https://www.youtube.com/watch?v=nRiJVZDpdL0
186,Bicycle Crunch,Core,Bodyweight,Low,Sample core exercise with bodyweight,high_blood_pressure,https://www.youtube.com/watch?v=9FGilxCbdz8
187,Reverse Lunge,Glutes,Machine,Moderate,Sample glutes exercise with machine,high_blood_pressure,https://www.youtube.com/watch?v=QOVaHwm-Q6U
188,Farmer's Walk,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,high_blood_pressure,https://www.youtube.com/watch?v=QJ7pMoDZX8o
189,Decline Barbell Press,Chest,Cable,Moderate,Sample chest exercise with cable,high_blood_pressure,https://www.youtube.com/watch?v=QYJ3y7n1d6Q
190,Barbell Row,Back,Barbell,Low,Sample back exercise with barbell,high_blood_pressure,https://www.youtube.com/watch?v=vT2GjY_Umpw
191,Lunges,Legs,Bands,Moderate,Sample legs exercise with bands,high_blood_pressure,https://www.youtube.com/watch?v=QOVaHwm-Q6U
192,Lateral Raise,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,high_blood_pressure,https://www.youtube.com/watch?v=kDqklk1ZESo
193,Skull Crusher,Arms,Machine,Moderate,Sample arms exercise with machine,high_blood_pressure,https://www.youtube.com/watch?v=d_KZxkY_0cM
194,Ab Wheel Rollout,Core,Dumbbells,Low,Sample core exercise with dumbbells,high_blood_pressure,https://www.youtube.com/watch?v=v66p-vBrRLQ
195,Frog Pump,Glutes,Cable,Moderate,Sample glutes exercise with cable,high_blood_pressure,https://www.youtube.com/watch?v=hqCFRwj67N8
196,Rack Pull,Traps,Barbell,Low,Sample traps exercise with barbell,high_blood_pressure,https://www.youtube.com/watch?v=8iPEnn-ltC8&t=1s
197,Incline Dumbbell Press,Chest,Bands,Moderate,Sample chest exercise with bands,high_blood_pressure,https://www.youtube.com/watch?v=8iPEnn-ltC8
198,Single-Arm Dumbbell Row,Back,Bodyweight,Low,Sample back exercise with bodyweight,high_blood_pressure,https://www.youtube.com/watch?v=pYcpY20QaE8
199,Romanian Deadlift,Legs,Machine,Moderate,Sample legs exercise with machine,high_blood_pressure,https://www.youtube.com/watch?v=DJpHADyP-Ko
200,Arnold Press,Shoulders,Dumbbells,Low,Sample shoulders exercise with dumbbells,high_blood_pressure,https://www.youtube.com/watch?v=vj2w851ZHRM
201,Tricep Pushdown,Arms,Cable,Moderate,Sample arms exercise with cable,high_blood_pressure,https://www.youtube.com/watch?v=2-LAMcpzODU
202,Dead Bug,Core,Barbell,Low,Sample core exercise with barbell,high_blood_pressure,https://www.youtube.com/watch?v=4botcJcQKNA
203,Sumo Deadlift,Glutes,Bands,Moderate,Sample glutes exercise with bands,high_blood_pressure,https://www.youtube.com/watch?v=5zAkYWoR_4c
